plot,block,planting,year,date,nurse_seedlings_yr1,SP_seedlings_yr1,EG_seedlings_yr1,PS_seedlings_yr1,AM_seedlings_yr1,LB_seedlings_yr1,weed_cover_yr1
1,B1,F,1,1,,,,,,,
2,B1,C,1,1,0,,,,,,
3,B1,R,1,1,,,,,,,
4,B2,C,1,1,0,,,,,,
5,B2,F,1,1,,,,,,,
6,B2,R,1,1,,,,,,,
7,B3,R,1,1,,,,,,,
8,B3,C,1,1,0,,,,,,
9,B3,F,1,1,,,,,,,
10,B4,F,1,1,,,,,,,
11,B4,R,1,1,,,,,,,
12,B4,C,1,1,0,,,,,,
13,B5,C,1,1,0,,,,,,
14,B5,R,1,1,,,,,,,
15,B5,F,1,1,,,,,,,
16,B6,F,1,1,,,,,,,
17,B6,R,1,1,,,,,,,
18,B6,C,1,1,0,,,,,,
19,B7,C,1,1,0,,,,,,
20,B7,F,1,1,,,,,,,
21,B7,R,1,1,,,,,,,
22,B8,C,1,1,0,,,,,,
23,B8,R,1,1,,,,,,,
24,B8,F,1,1,,,,,,,
25,B9,R,1,1,,,,,,,
26,B9,F,1,1,,,,,,,
27,B9,C,1,1,0,,,,,,
28,B10,C,1,1,0,,,,,,
29,B10,F,1,1,,,,,,,
30,B10,R,1,1,,,,,,,
31,B11,R,1,2,,,,,,,
32,B11,F,1,2,,,,,,,
33,B11,C,1,2,0,,,,,,
34,B12,C,1,2,0,,,,,,
35,B2,R,1,2,,,,,,,
36,B2,F,1,2,,,,,,,
37,B13,F,1,2,,,,,,,
38,B13,R,1,2,,,,,,,
39,B13,C,1,2,0,,,,,,
40,B14,F,1,2,,,,,,,
41,B14,C,1,2,0,,,,,,
42,B14,R,1,2,,,,,,,
43,B15,C,1,2,0,,,,,,
44,B5,F,1,2,,,,,,,
45,B5,R,1,2,,,,,,,
46,B16,R,1,2,,,,,,,
47,B16,C,1,2,0,,,,,,
48,B16,F,1,2,,,,,,,
49,B17,R,1,2,,,,,,,
50,B17,F,1,2,,,,,,,
51,B17,C,1,2,0,,,,,,
52,B18,F,1,2,,,,,,,
53,B18,C,1,2,0,,,,,,
54,B18,R,1,2,,,,,,,
55,B19,R,1,2,,,,,,,
56,B19,F,1,2,,,,,,,
57,B19,C,1,2,0,,,,,,
58,B20,C,1,2,0,,,,,,
59,B20,R,1,2,,,,,,,
60,B20,F,1,2,,,,,,,